"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","65132","KBO-65132","삼성 라이온즈","김재성","C","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65132","0.200","10","23","20","3","4","1","0","0","5","1","0","0","3","0","5","1","0.250","0.304","1","0.554"
"2024","65207","KBO-65207","LG 트윈스","신민재","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65207","0.297","128","474","387","78","115","11","6","0","138","40","32","11","64","5","47","7","0.357","0.401","11","0.758"
"2024","65269","KBO-65269","두산 베어스","김민혁","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65269","0.200","5","8","5","1","1","0","0","1","4","2","0","0","3","0","3","0","0.800","0.500","0","1.300"
"2024","65357","KBO-65357","키움 히어로즈","송성문","IF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65357","0.340","142","602","527","88","179","29","4","19","273","104","21","0","64","3","82","5","0.518","0.409","10","0.927"
"2024","65464","KBO-65464","KIA 타이거즈","최정용","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65464","0.182","6","12","11","0","2","0","0","0","2","1","0","0","1","0","4","1","0.182","0.250","1","0.432"
"2024","65586","KBO-65586","삼성 라이온즈","전병우","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65586","0.225","58","128","111","17","25","5","0","5","45","14","0","1","14","1","42","3","0.405","0.313","3","0.718"
"2024","65610","KBO-65610","KIA 타이거즈","황대인","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65610","0.286","3","7","7","1","2","1","0","0","3","3","0","0","0","0","1","0","0.429","0.286","0","0.715"
"2024","65653","KBO-65653","KIA 타이거즈","김호령","OF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65653","0.136","64","67","59","12","8","2","0","1","13","4","3","2","8","0","25","1","0.220","0.239","2","0.459"
"2024","65703","KBO-65703","한화 이글스","이도윤","IF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65703","0.277","134","374","336","49","93","10","3","1","112","46","6","4","26","3","56","5","0.333","0.332","15","0.665"
"2024","65898","KBO-65898","키움 히어로즈","김웅빈","IF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65898","0.125","12","38","32","2","4","0","0","0","4","2","0","0","4","1","15","1","0.125","0.243","0","0.368"
"2024","65905","KBO-65905","LG 트윈스","최승민","OF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=65905","0.077","57","16","13","20","1","0","0","0","1","1","11","7","2","0","3","0","0.077","0.200","0","0.277"
"2024","66108","KBO-66108","LG 트윈스","홍창기","OF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66108","0.336","139","637","524","96","176","18","3","5","215","73","10","11","96","12","93","8","0.410","0.447","10","0.857"
"2024","66112","KBO-66112","두산 베어스","김기연","C","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66112","0.278","95","283","252","31","70","10","0","5","95","31","0","2","22","2","47","5","0.377","0.337","2","0.714"
"2024","66162","KBO-66162","LG 트윈스","김주성","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66162","0.167","12","9","6","1","1","0","0","0","1","0","0","0","3","0","0","0","0.167","0.444","1","0.611"
"2024","66209","KBO-66209","두산 베어스","조수행","OF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66209","0.265","130","382","328","60","87","5","2","0","96","30","64","8","33","3","53","2","0.293","0.334","1","0.627"
"2024","66233","KBO-66233","두산 베어스","홍성호","OF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66233","0.286","15","15","14","0","4","2","0","0","6","1","1","0","1","0","7","0","0.429","0.333","0","0.762"
"2024","66354","KBO-66354","KIA 타이거즈","주효상","C","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66354","","","","","","","","","","","","","","","","","","","","",""
"2024","66406","KBO-66406","삼성 라이온즈","안주형","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66406","0.218","82","166","142","24","31","2","0","0","33","8","4","2","11","1","39","3","0.232","0.279","3","0.511"
"2024","66409","KBO-66409","삼성 라이온즈","이성규","OF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66409","0.242","122","355","302","56","73","10","1","22","151","57","9","2","31","15","109","5","0.500","0.339","6","0.839"
"2024","66606","KBO-66606","NC 다이노스","최원준","OF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66606","0.292","136","508","438","75","128","23","3","9","184","56","21","9","50","8","66","6","0.420","0.371","4","0.791"
"2024","66614","KBO-66614","KIA 타이거즈","김규성","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66614","0.250","27","15","12","5","3","1","0","0","4","2","1","0","2","0","4","0","0.333","0.357","3","0.690"
"2024","66657","KBO-66657","한화 이글스","이진영","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66657","0.204","42","103","93","20","19","6","0","1","28","13","0","1","8","2","27","3","0.301","0.282","1","0.583"
"2024","66662","KBO-66662","SSG 랜더스","신범수","C","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66662","0.222","11","29","27","4","6","3","0","0","9","2","0","0","1","1","5","0","0.333","0.276","0","0.609"
"2024","66704","KBO-66704","한화 이글스","김태연","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66704","0.291","126","472","413","59","120","24","0","12","180","61","5","2","45","4","89","9","0.436","0.363","9","0.799"
"2024","66706","KBO-66706","KT 위즈","장진혁","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66706","0.263","99","327","289","56","76","16","0","9","119","44","14","6","29","3","72","6","0.412","0.335","1","0.747"
"2024","66707","KBO-66707","한화 이글스","박상언","C","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66707","0.286","27","52","42","4","12","3","0","0","15","4","1","0","9","1","12","0","0.357","0.423","1","0.780"
"2024","66715","KBO-66715","한화 이글스","김인환","IF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66715","0.237","51","143","131","11","31","2","0","1","36","7","0","0","10","2","32","5","0.275","0.301","2","0.576"
"2024","66838","KBO-66838","키움 히어로즈","김동엽","OF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66838","0.111","8","21","18","1","2","1","0","0","3","2","0","0","1","1","5","0","0.167","0.190","0","0.357"
"2024","66864","KBO-66864","SSG 랜더스","안상현","IF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66864","0.171","37","75","70","3","12","1","0","0","13","2","1","1","4","0","14","0","0.186","0.216","5","0.402"
"2024","66917","KBO-66917","SSG 랜더스","김찬형","IF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66917","0.000","5","9","9","0","0","0","0","0","0","0","0","0","0","0","4","0","0.000","0.000","0","0.000"
"2024","66928","KBO-66928","두산 베어스","박준영","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66928","0.226","65","212","186","25","42","9","2","7","76","28","2","0","21","3","58","3","0.409","0.313","4","0.722"
"2024","66965","KBO-66965","NC 다이노스","도태훈","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=66965","0.214","100","181","145","20","31","4","0","0","35","15","1","0","24","6","29","5","0.241","0.345","3","0.586"
"2024","67005","KBO-67005","삼성 라이온즈","홍현빈","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67005","0.222","28","22","18","5","4","0","1","0","6","2","0","0","3","0","7","0","0.333","0.333","1","0.666"
"2024","67006","KBO-67006","KT 위즈","안치영","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67006","0.250","31","48","44","12","11","0","0","0","11","3","0","1","2","0","12","0","0.250","0.283","0","0.533"
"2024","67207","KBO-67207","두산 베어스","이유찬","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67207","0.277","103","262","231","39","64","11","0","3","84","23","16","6","22","1","51","9","0.364","0.341","3","0.705"
"2024","67449","KBO-67449","삼성 라이온즈","김성윤","OF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67449","0.243","32","89","74","15","18","4","0","0","22","6","3","1","9","1","16","1","0.297","0.326","0","0.623"
"2024","67609","KBO-67609","KIA 타이거즈","박정우","OF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67609","0.308","66","69","65","17","20","3","1","0","25","11","0","1","4","0","14","3","0.385","0.348","3","0.733"
"2024","67610","KBO-67610","KIA 타이거즈","김석환","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67610","","","","","","","","","","","","","","","","","","","","",""
"2024","67644","KBO-67644","KT 위즈","이정훈","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67644","0.300","65","116","100","10","30","8","0","0","38","18","0","0","13","0","21","4","0.380","0.374","0","0.754"
"2024","67807","KBO-67807","SSG 랜더스","이정범","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67807","","","","","","","","","","","","","","","","","","","","",""
"2024","67893","KBO-67893","SSG 랜더스","박성한","IF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67893","0.301","137","564","489","78","147","24","0","10","201","67","13","3","64","2","86","11","0.411","0.380","23","0.791"
"2024","67900","KBO-67900","SSG 랜더스","김수윤","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67900","0.222","9","10","9","0","2","0","0","0","2","0","0","0","1","0","4","0","0.222","0.300","1","0.522"
"2024","67905","KBO-67905","NC 다이노스","천재환","OF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=67905","0.284","89","236","215","31","61","9","1","5","87","33","8","2","13","4","52","7","0.405","0.335","2","0.740"
"2024","68050","KBO-68050","KT 위즈","강백호","C","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68050","0.289","144","614","550","92","159","27","0","26","264","96","6","2","59","3","127","6","0.480","0.360","4","0.840"
"2024","68089","KBO-68089","KT 위즈","조대현","C","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68089","0.306","26","45","36","2","11","2","0","0","13","3","0","0","3","0","12","1","0.361","0.350","0","0.711"
"2024","68110","KBO-68110","LG 트윈스","송찬의","OF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68110","0.067","10","21","15","2","1","0","0","0","1","1","1","0","3","1","6","0","0.067","0.250","0","0.317"
"2024","68119","KBO-68119","LG 트윈스","문성주","OF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68119","0.315","96","361","305","47","96","16","2","0","116","48","13","7","49","3","38","4","0.380","0.411","1","0.791"
"2024","68205","KBO-68205","롯데 자이언츠","전민재","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68205","0.246","100","276","248","34","61","5","1","2","74","32","7","3","17","4","53","8","0.298","0.301","8","0.599"
"2024","68305","KBO-68305","키움 히어로즈","변상권","OF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68305","0.251","77","232","219","16","55","3","1","5","75","21","0","0","11","1","51","4","0.342","0.289","1","0.631"
"2024","68362","KBO-68362","두산 베어스","추재현","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68362","-","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","-","-","0",""
"2024","68407","KBO-68407","삼성 라이온즈","공민규","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68407","0.071","12","17","14","1","1","0","0","1","4","2","0","0","1","2","9","1","0.286","0.235","1","0.521"
"2024","68463","KBO-68463","삼성 라이온즈","윤정빈","OF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68463","0.286","69","188","161","26","46","4","1","7","73","20","1","3","22","3","47","1","0.453","0.378","0","0.831"
