ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,season,record_team,IP_OUTS,IP_DECIMAL,kbo_player_id,player_name,level,role,has_record,source_url,AVG,PA,AB,2B,3B,TB,RBI,SB,CS,GDP,SLG,OBP,E
4.35,2,0,0,1,0,0,0,1.000,45,10 1/3,11,1,5,0,8,5,5,2025,KIA,31,10.333333,53613,윤영철,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53613,,,,,,,,,,,,,
6.92,6,0,0,1,1,0,0,0.500,65,13,17,1,8,1,9,11,10,2025,KIA,39,13.0,53615,이도현,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53615,,,,,,,,,,,,,
14.46,8,0,0,0,2,0,0,0.000,58,9 1/3,12,2,14,4,6,16,15,2024,KIA,28,9.333333,53615,이도현,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53615,,,,,,,,,,,,,
6.89,18,0,0,4,4,0,0,0.500,382,78 1/3,94,8,53,15,62,63,60,2025,KIA,235,78.333333,53615,이도현,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53615,,,,,,,,,,,,,
,24,,,,,,,,,,3,0,5,1,14,5,,2025,KIA,,,53659,정해원,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=53659,0.075,46,40,0,0,3,0,0,0,4,0.075,0.196,1
,93,,,,,,,,,,72,7,35,7,75,33,,2023,KIA,,,53659,정해원,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53659,0.247,337,291,14,1,109,45,1,0,8,0.375,0.338,12
,51,,,,,,,,,,68,4,24,4,39,43,,2025,KIA,,,53659,정해원,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53659,0.362,220,188,17,0,97,26,5,4,4,0.516,0.436,1
7.25,20,0,0,0,0,1,0,-,114,22 1/3,22,1,23,7,26,20,18,2023,한화,67,22.333333,53754,김서현,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53754,,,,,,,,,,,,,
3.76,37,0,0,1,2,0,10,0.333,178,38 1/3,31,0,32,4,43,20,16,2024,한화,115,38.333333,53754,김서현,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53754,,,,,,,,,,,,,
3.14,69,0,0,2,4,33,2,0.333,280,66,52,4,31,8,71,23,23,2025,한화,198,66.0,53754,김서현,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53754,,,,,,,,,,,,,
4.01,14,0,0,3,1,0,1,0.750,200,42 2/3,48,3,26,5,45,22,19,2023,한화,128,42.666667,53754,김서현,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53754,,,,,,,,,,,,,
8.40,15,0,0,2,2,1,2,0.500,66,15,17,2,5,1,16,14,14,2024,한화,45,15.0,53754,김서현,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53754,,,,,,,,,,,,,
,137,,,,,,,,,,114,5,33,6,84,47,,2023,한화,,,53764,문현빈,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=53764,0.266,481,428,22,2,155,49,5,1,7,0.362,0.324,9
,103,,,,,,,,,,72,5,24,2,53,29,,2024,한화,,,53764,문현빈,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=53764,0.277,289,260,16,2,107,47,3,5,9,0.412,0.340,3
,141,,,,,,,,,,169,12,38,10,82,71,,2025,한화,,,53764,문현빈,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=53764,0.320,592,528,30,2,239,80,17,6,11,0.453,0.370,3
,10,,,,,,,,,,13,1,1,0,5,5,,2024,한화,,,53764,문현빈,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53764,0.310,45,42,3,0,19,4,0,0,0,0.452,0.311,2
,122,,,,,,,,,,153,12,39,9,75,76,,2023,SSG,,,53827,에레디아,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=53827,0.323,523,473,29,0,218,76,12,8,13,0.461,0.385,5
,136,,,,,,,,,,195,21,28,13,73,82,,2024,SSG,,,53827,에레디아,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=53827,0.360,591,541,31,1,291,118,4,3,12,0.538,0.399,3
,96,,,,,,,,,,127,13,31,7,62,46,,2025,SSG,,,53827,에레디아,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=53827,0.339,415,375,18,0,184,54,1,2,9,0.491,0.398,2
,2,,,,,,,,,,2,0,0,0,1,1,,2023,SSG,,,53827,에레디아,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53827,0.400,5,5,0,0,2,0,0,0,0,0.400,0.400,0
,5,,,,,,,,,,2,0,1,0,5,2,,2025,SSG,,,53827,에레디아,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53827,0.111,19,18,0,0,2,1,0,0,0,0.111,0.158,0
5.62,50,0,0,6,1,0,5,0.857,268,57 2/3,67,7,29,1,52,39,36,2023,SSG,173,57.666667,53892,이로운,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53892,,,,,,,,,,,,,
5.95,63,0,0,1,3,1,9,0.250,277,56,67,4,43,3,41,43,37,2024,SSG,168,56.0,53892,이로운,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53892,,,,,,,,,,,,,
1.99,75,0,0,6,5,1,33,0.545,305,77,56,7,26,0,66,19,17,2025,SSG,231,77.0,53892,이로운,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53892,,,,,,,,,,,,,
0.00,1,0,0,0,0,0,0,-,6,1,2,0,0,0,1,1,0,2023,SSG,3,1.0,53892,이로운,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53892,,,,,,,,,,,,,
9.00,2,0,0,0,0,0,1,-,9,2,2,1,1,0,1,2,2,2024,SSG,6,2.0,53892,이로운,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53892,,,,,,,,,,,,,
5.70,17,0,0,3,3,0,0,0.500,220,47 1/3,46,3,31,2,38,35,30,2023,SSG,142,47.333333,53898,송영진,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53898,,,,,,,,,,,,,
5.80,26,0,0,5,10,0,0,0.333,456,99 1/3,112,10,51,1,67,74,64,2024,SSG,298,99.333333,53898,송영진,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53898,,,,,,,,,,,,,
5.83,21,0,0,2,5,0,0,0.286,288,63 1/3,77,10,31,3,40,45,41,2025,SSG,190,63.333333,53898,송영진,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53898,,,,,,,,,,,,,
8.15,10,0,0,1,2,0,2,0.333,86,17 2/3,29,1,6,1,11,17,16,2023,SSG,53,17.666667,53898,송영진,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53898,,,,,,,,,,,,,
9.64,2,0,0,0,1,0,0,0.000,23,4 2/3,6,2,3,0,5,5,5,2024,SSG,14,4.666667,53898,송영진,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53898,,,,,,,,,,,,,
7.36,4,0,0,2,1,0,0,0.667,51,11,13,2,5,0,8,9,9,2025,SSG,33,11.0,53898,송영진,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53898,,,,,,,,,,,,,
10.61,4,0,0,0,1,0,0,0.000,52,9 1/3,9,0,15,2,6,11,11,2024,NC,28,9.333333,53919,신영우,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53919,,,,,,,,,,,,,
7.53,8,0,0,1,3,0,0,0.250,68,14 1/3,8,2,16,3,19,13,12,2025,NC,43,14.333333,53919,신영우,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53919,,,,,,,,,,,,,
6.14,17,0,0,3,7,0,0,0.300,329,66,45,3,89,8,83,47,45,2023,NC,198,66.0,53919,신영우,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53919,,,,,,,,,,,,,
4.84,14,0,0,1,3,0,0,0.250,224,48 1/3,32,2,40,11,69,29,26,2024,NC,145,48.333333,53919,신영우,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53919,,,,,,,,,,,,,
6.60,19,0,0,4,5,0,0,0.444,347,73 2/3,57,9,63,15,92,57,54,2025,NC,221,73.666667,53919,신영우,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53919,,,,,,,,,,,,,
12.00,3,0,0,0,1,0,0,0.000,52,9,15,1,10,2,3,12,12,2024,NC,27,9.0,53973,목지훈,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53973,,,,,,,,,,,,,
6.05,16,0,0,3,5,0,0,0.375,280,58,68,6,42,5,45,42,39,2025,NC,174,58.0,53973,목지훈,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=53973,,,,,,,,,,,,,
3.00,3,0,0,0,1,0,1,0.000,14,3,3,1,1,1,3,1,1,2023,NC,9,3.0,53973,목지훈,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53973,,,,,,,,,,,,,
2.70,16,0,0,2,4,0,0,0.333,279,66 2/3,53,6,23,5,55,35,20,2024,NC,200,66.666667,53973,목지훈,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53973,,,,,,,,,,,,,
6.10,3,0,0,0,0,0,0,-,42,10 1/3,7,3,6,0,5,7,7,2025,NC,31,10.333333,53973,목지훈,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=53973,,,,,,,,,,,,,
5.35,25,0,0,1,2,1,3,0.333,154,33 2/3,32,4,26,0,29,21,20,2024,KT,101,33.666667,54014,이현민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54014,,,,,,,,,,,,,
8.64,9,0,0,1,1,0,1,0.500,39,8 1/3,10,0,4,0,6,9,8,2025,KT,25,8.333333,54014,이현민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54014,,,,,,,,,,,,,
7.03,22,0,0,2,5,0,1,0.286,324,65 1/3,105,6,31,2,59,54,51,2024,KT,196,65.333333,54063,원상현,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54063,,,,,,,,,,,,,
5.21,52,0,0,0,3,0,14,0.000,259,57,56,8,35,1,45,35,33,2025,KT,171,57.0,54063,원상현,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54063,,,,,,,,,,,,,
4.32,8,0,0,2,2,0,0,0.500,115,25,25,1,13,1,33,13,12,2024,KT,75,25.0,54063,원상현,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54063,,,,,,,,,,,,,
0.00,4,0,0,0,0,0,1,-,12,3 2/3,2,0,0,0,4,0,0,2025,KT,11,3.666667,54063,원상현,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54063,,,,,,,,,,,,,
,2,,,,,,,,,,0,0,0,0,0,0,,2025,KT,,,54097,김민석,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54097,-,0,0,0,0,0,0,0,0,0,-,-,0
,48,,,,,,,,,,25,0,14,2,17,17,,2024,KT,,,54097,김민석,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54097,0.281,105,89,6,0,31,16,0,0,3,0.348,0.390,1
,54,,,,,,,,,,45,3,12,1,25,15,,2025,KT,,,54097,김민석,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54097,0.306,161,147,10,0,64,20,0,0,7,0.435,0.363,2
4.70,6,0,0,0,0,0,0,-,35,7 2/3,8,1,4,0,6,4,4,2024,LG,23,7.666667,54148,진우영,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54148,,,,,,,,,,,,,
5.36,14,0,0,1,3,0,1,0.250,180,40 1/3,38,7,19,3,32,26,24,2024,LG,121,40.333333,54148,진우영,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54148,,,,,,,,,,,,,
5.30,24,0,0,2,7,1,2,0.222,234,52 2/3,43,4,35,6,50,33,31,2025,LG,158,52.666667,54148,진우영,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54148,,,,,,,,,,,,,
,9,,,,,,,,,,3,0,0,1,5,3,,2025,LG,,,54156,손용준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54156,0.200,16,15,0,0,3,1,1,0,2,0.200,0.250,1
,94,,,,,,,,,,56,1,20,8,29,33,,2024,LG,,,54156,손용준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54156,0.290,227,193,14,3,79,23,8,4,5,0.409,0.377,13
,81,,,,,,,,,,95,2,25,16,45,64,,2025,LG,,,54156,손용준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54156,0.338,324,281,14,3,121,33,21,8,4,0.431,0.420,7
,17,,,,,,,,,,3,0,0,1,4,8,,2024,LG,,,54166,김현종,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54166,0.200,16,15,1,0,4,2,0,0,0,0.267,0.250,0
,10,,,,,,,,,,2,0,1,0,1,3,,2025,LG,,,54166,김현종,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54166,0.400,6,5,1,0,3,0,0,0,1,0.600,0.500,0
,56,,,,,,,,,,42,3,33,1,38,31,,2024,LG,,,54166,김현종,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54166,0.253,205,166,7,3,64,32,13,6,0,0.386,0.374,1
,35,,,,,,,,,,33,0,11,1,22,20,,2025,LG,,,54166,김현종,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54166,0.311,120,106,6,0,39,8,2,4,2,0.368,0.381,1
,9,,,,,,,,,,4,0,1,0,2,2,,2024,두산,,,54205,여동건,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54205,0.400,11,10,0,0,4,0,3,0,0,0.400,0.455,0
,19,,,,,,,,,,2,0,2,0,2,6,,2025,두산,,,54205,여동건,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54205,0.105,21,19,0,0,2,2,0,1,1,0.105,0.190,1
,47,,,,,,,,,,34,1,11,3,22,20,,2024,두산,,,54205,여동건,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54205,0.279,141,122,7,1,46,16,12,6,1,0.377,0.345,6
,51,,,,,,,,,,39,0,16,1,32,28,,2025,두산,,,54205,여동건,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54205,0.236,183,165,6,4,53,19,6,1,3,0.321,0.308,11
0.00,1,0,0,0,0,0,1,-,3,2/3,0,0,1,0,2,0,0,2024,두산,2,0.666667,54213,박지호,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54213,,,,,,,,,,,,,
4.60,26,0,0,0,1,1,3,0.000,145,31 1/3,30,3,24,1,21,16,16,2024,두산,94,31.333333,54213,박지호,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54213,,,,,,,,,,,,,
10.29,8,0,0,1,1,0,1,0.500,39,7,11,2,7,0,8,9,8,2025,두산,21,7.0,54213,박지호,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54213,,,,,,,,,,,,,
,25,,,,,,,,,,9,0,7,0,8,10,,2024,두산,,,54214,전다민,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54214,0.333,34,27,2,0,11,1,1,1,0,0.407,0.471,0
,22,,,,,,,,,,1,0,0,0,0,5,,2025,두산,,,54214,전다민,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54214,0.083,12,12,0,0,1,0,3,0,1,0.083,0.083,1
,69,,,,,,,,,,58,3,26,2,37,48,,2024,두산,,,54214,전다민,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54214,0.264,252,220,10,5,87,31,27,10,4,0.395,0.344,2
,65,,,,,,,,,,55,2,24,1,24,33,,2025,두산,,,54214,전다민,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54214,0.320,202,172,11,2,76,25,9,4,1,0.442,0.402,0
,2,,,,,,,,,,2,0,0,0,0,0,,2024,두산,,,54219,류현준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54219,0.667,3,3,1,0,3,1,0,0,0,1.000,0.667,0
,17,,,,,,,,,,3,0,0,0,6,2,,2025,두산,,,54219,류현준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54219,0.136,22,22,0,0,3,1,0,0,1,0.136,0.136,1
,61,,,,,,,,,,33,0,13,8,23,19,,2024,두산,,,54219,류현준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54219,0.280,141,118,9,1,44,13,1,0,3,0.373,0.383,3
,33,,,,,,,,,,30,4,12,2,7,19,,2025,두산,,,54219,류현준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54219,0.357,100,84,5,0,47,16,0,1,1,0.560,0.444,3
,1,,,,,,,,,,0,0,1,0,1,0,,2024,두산,,,54236,임종성,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54236,0.000,4,3,0,0,0,0,0,0,0,0.000,0.250,0
,33,,,,,,,,,,23,2,3,1,26,7,,2025,두산,,,54236,임종성,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54236,0.277,89,83,4,0,33,11,1,0,1,0.398,0.307,2
,78,,,,,,,,,,51,0,20,3,65,22,,2024,두산,,,54236,임종성,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54236,0.213,265,239,11,2,66,27,1,2,3,0.276,0.279,12
,26,,,,,,,,,,23,1,4,3,11,10,,2025,두산,,,54236,임종성,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54236,0.274,95,84,7,1,35,13,0,0,4,0.417,0.323,5
2.08,60,0,0,3,2,19,4,0.600,277,65,51,2,31,4,78,17,15,2024,두산,195,65.0,54263,김택연,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54263,,,,,,,,,,,,,
3.53,64,0,0,4,5,24,0,0.444,281,66 1/3,47,6,31,5,79,31,26,2025,두산,199,66.333333,54263,김택연,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54263,,,,,,,,,,,,,
6.00,3,0,0,0,0,0,1,-,15,3,2,0,3,1,5,2,2,2024,두산,9,3.0,54263,김택연,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54263,,,,,,,,,,,,,
,36,,,,,,,,,,16,1,2,2,33,7,,2024,키움,,,54305,이재상,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54305,0.190,89,84,1,0,20,5,0,0,0,0.238,0.227,4
,2,,,,,,,,,,1,0,0,0,1,0,,2025,키움,,,54305,이재상,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54305,0.500,2,2,0,0,1,0,0,0,0,0.500,0.500,1
,28,,,,,,,,,,13,0,7,8,35,11,,2024,고양,,,54305,이재상,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54305,0.148,104,88,3,0,16,2,0,0,1,0.182,0.272,3
,52,,,,,,,,,,18,2,7,3,23,16,,2025,고양,,,54305,이재상,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54305,0.178,111,101,8,0,32,11,0,1,4,0.317,0.252,4
,51,,,,,,,,,,28,2,10,0,36,12,,2024,키움,,,54307,원성준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54307,0.250,125,112,5,0,39,11,2,0,2,0.348,0.306,1
,24,,,,,,,,,,8,2,7,0,18,5,,2025,키움,,,54307,원성준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54307,0.174,53,46,1,0,15,4,0,0,1,0.326,0.283,0
,41,,,,,,,,,,23,3,21,2,22,18,,2024,고양,,,54307,원성준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54307,0.245,119,94,3,2,39,16,4,2,0,0.415,0.387,2
,47,,,,,,,,,,45,2,23,0,20,27,,2025,고양,,,54307,원성준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54307,0.308,171,146,8,2,63,15,2,0,1,0.432,0.402,2
6.04,19,0,0,1,6,0,2,0.143,363,79,93,6,35,4,43,57,53,2024,키움,237,79.0,54319,김윤하,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54319,,,,,,,,,,,,,
6.14,19,0,0,0,12,0,0,0.000,422,88,113,16,44,3,52,76,60,2025,키움,264,88.0,54319,김윤하,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54319,,,,,,,,,,,,,
6.04,8,0,0,1,4,0,0,0.200,132,28 1/3,32,7,11,0,26,26,19,2024,고양,85,28.333333,54319,김윤하,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54319,,,,,,,,,,,,,
6.06,5,0,0,0,1,0,0,0.000,78,16 1/3,20,0,8,2,12,13,11,2025,고양,49,16.333333,54319,김윤하,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54319,,,,,,,,,,,,,
,94,,,,,,,,,,65,0,28,1,71,21,,2024,키움,,,54344,고영우,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54344,0.256,290,254,12,2,81,35,0,0,5,0.319,0.329,12
,14,,,,,,,,,,5,0,2,0,6,4,,2025,키움,,,54344,고영우,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=54344,0.217,26,23,1,0,6,2,0,0,2,0.261,0.280,2
,12,,,,,,,,,,7,1,5,1,11,6,,2024,고양,,,54344,고영우,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54344,0.159,50,44,2,0,12,5,0,0,1,0.273,0.260,0
,73,,,,,,,,,,35,2,25,2,20,25,,2025,고양,,,54344,고영우,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54344,0.327,136,107,5,0,46,18,1,0,4,0.430,0.463,5
3.68,30,0,0,13,11,0,0,0.542,728,171 1/3,171,22,44,14,178,78,70,2024,키움,514,171.333333,54354,헤이수스,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54354,,,,,,,,,,,,,
3.96,32,0,0,9,9,0,1,0.500,712,163 2/3,173,17,44,8,165,85,72,2025,KT,491,163.666667,54354,헤이수스,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54354,,,,,,,,,,,,,
6.83,18,0,0,2,4,0,0,0.333,144,27 2/3,35,4,20,5,18,28,21,2024,키움,83,27.666667,54362,전준표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54362,,,,,,,,,,,,,
8.85,21,0,0,2,2,0,1,0.500,114,20 1/3,33,2,19,3,15,22,20,2025,키움,61,20.333333,54362,전준표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54362,,,,,,,,,,,,,
6.62,14,0,0,1,3,0,1,0.250,162,35 1/3,37,4,19,4,16,29,26,2024,고양,106,35.333333,54362,전준표,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54362,,,,,,,,,,,,,
3.24,8,0,0,2,1,0,1,0.667,73,16 2/3,17,1,10,0,12,10,6,2025,고양,50,16.666667,54362,전준표,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54362,,,,,,,,,,,,,
7.53,6,0,0,0,1,0,0,0.000,69,14 1/3,17,2,8,3,9,14,12,2024,키움,43,14.333333,54363,손현기,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54363,,,,,,,,,,,,,
15.00,2,0,0,0,0,0,0,-,18,3,4,1,6,1,1,5,5,2025,키움,9,3.0,54363,손현기,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54363,,,,,,,,,,,,,
6.75,11,0,0,0,4,0,0,0.000,171,33 1/3,33,0,34,6,35,25,25,2024,고양,100,33.333333,54363,손현기,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54363,,,,,,,,,,,,,
7.02,28,0,0,1,2,0,3,0.333,211,42 1/3,51,3,33,3,37,42,33,2025,고양,127,42.333333,54363,손현기,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54363,,,,,,,,,,,,,
6.61,34,0,0,1,1,0,1,0.500,148,31 1/3,34,5,17,5,18,24,23,2024,키움,94,31.333333,54368,김연주,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54368,,,,,,,,,,,,,
6.62,20,0,0,1,3,0,0,0.250,250,51 2/3,67,10,25,6,28,40,38,2025,키움,155,51.666667,54368,김연주,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=54368,,,,,,,,,,,,,
4.76,9,0,0,2,0,0,1,1.000,75,17,23,0,3,0,12,9,9,2024,고양,51,17.0,54368,김연주,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=54368,,,,,,,,,,,,,
