ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,season,record_team,IP_OUTS,IP_DECIMAL,kbo_player_id,player_name,level,role,has_record,source_url,AVG,PA,AB,2B,3B,TB,RBI,SB,CS,GDP,SLG,OBP,E
,29,,,,,,,,,,31,2,10,1,11,13,,2023,KT,,,50066,강현우,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50066,0.330,106,94,3,0,40,12,4,0,4,0.426,0.396,3
,46,,,,,,,,,,42,1,25,1,16,23,,2024,KT,,,50066,강현우,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50066,0.307,165,137,7,0,52,26,2,3,10,0.380,0.415,2
,40,,,,,,,,,,33,4,19,0,15,19,,2025,KT,,,50066,강현우,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50066,0.320,122,103,5,0,50,20,0,1,3,0.485,0.426,0
,13,,,,,,,,,,3,0,1,0,6,3,,2024,KT,,,50092,윤준혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50092,0.176,18,17,2,0,5,0,0,0,0,0.294,0.222,1
,28,,,,,,,,,,1,0,0,0,5,4,,2025,KT,,,50092,윤준혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50092,0.059,18,17,1,0,2,0,1,0,0,0.118,0.059,0
,61,,,,,,,,,,39,4,15,1,86,24,,2020,KT,,,50092,윤준혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50092,0.200,213,195,14,2,69,25,9,3,2,0.354,0.258,11
,70,,,,,,,,,,50,6,34,1,57,36,,2021,KT,,,50092,윤준혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50092,0.225,268,222,11,2,83,39,18,8,5,0.374,0.321,15
,17,,,,,,,,,,3,0,2,0,17,3,,2022,KT,,,50092,윤준혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50092,0.068,46,44,0,0,3,2,1,0,0,0.068,0.109,2
,63,,,,,,,,,,68,6,29,2,40,43,,2024,KT,,,50092,윤준혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50092,0.345,229,197,10,1,98,33,19,9,7,0.497,0.432,9
,62,,,,,,,,,,68,5,31,2,39,38,,2025,KT,,,50092,윤준혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50092,0.318,252,214,13,1,98,45,16,2,5,0.458,0.401,5
3.44,67,0,0,6,3,1,12,0.667,305,68,55,4,40,7,55,27,26,2023,LG,204,68.0,50106,유영찬,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50106,,,,,,,,,,,,,
2.97,62,0,0,7,5,26,1,0.583,286,63 2/3,61,2,30,3,77,24,21,2024,LG,191,63.666667,50106,유영찬,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50106,,,,,,,,,,,,,
2.63,39,0,0,2,2,21,1,0.500,177,41,31,2,23,3,52,14,12,2025,LG,123,41.0,50106,유영찬,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50106,,,,,,,,,,,,,
6.39,10,0,0,1,3,0,1,0.250,140,31,32,4,17,0,29,23,22,2020,LG,93,31.0,50106,유영찬,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50106,,,,,,,,,,,,,
4.50,12,0,0,0,1,0,3,0.000,86,20,20,0,11,0,25,12,10,2022,LG,60,20.0,50106,유영찬,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50106,,,,,,,,,,,,,
0.00,1,0,0,0,0,0,0,-,4,1,1,0,0,0,1,0,0,2025,LG,3,1.0,50106,유영찬,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50106,,,,,,,,,,,,,
,15,,,,,,,,,,2,0,2,0,3,3,,2024,LG,,,50108,함창건,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50108,0.143,17,14,0,0,2,0,0,0,1,0.143,0.250,0
,15,,,,,,,,,,6,0,3,0,9,2,,2025,LG,,,50108,함창건,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50108,0.188,36,32,2,0,8,2,0,0,1,0.250,0.250,0
,55,,,,,,,,,,33,3,3,5,19,26,,2020,LG,,,50108,함창건,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50108,0.280,126,118,3,7,59,29,2,0,1,0.500,0.325,0
