"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","ERA","G","CG","SHO","W","L","SV","HLD","WPCT","TBF","IP","H","HR","BB","HBP","SO","R","ER","IP_OUTS","IP_DECIMAL","WHIP"
"2025","68639","KBO-68639","NC 다이노스","하준영","P","NC","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68639","6.75","10","0","0","1","1","0","1","0.500","33","5 1/3","10","0","7","0","5","4","4","16","5.333","3.19"
"2025","68830","KBO-68830","두산 베어스","김정우","P","두산","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68830","3.86","18","0","0","0","0","1","1","-","103","21","26","1","9","3","13","12","9","63","21.000","1.67"
"2025","68856","KBO-68856","SSG 랜더스","최민준","P","SSG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68856","3.97","40","0","0","2","2","0","1","0.500","287","65 2/3","72","6","24","3","44","34","29","197","65.667","1.46"
"2025","68896","KBO-68896","KT 위즈","이채호","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68896","6.17","10","0","0","0","0","0","0","-","53","11 2/3","12","1","5","2","8","8","8","35","11.667","1.46"
"2025","68900","KBO-68900","NC 다이노스","김영규","P","NC","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68900","2.86","45","0","0","4","3","0","21","0.571","189","44","40","3","18","3","35","17","14","132","44.000","1.32"
"2025","68902","KBO-68902","NC 다이노스","신민혁","P","NC","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68902","4.77","28","1","0","6","3","0","0","0.667","568","132","148","23","26","6","84","76","70","396","132.000","1.32"
"2025","68928","KBO-68928","KIA 타이거즈","김시훈","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68928","8.06","24","0","0","1","0","0","1","1.000","118","25 2/3","33","7","10","0","18","25","23","77","25.667","1.68"
"2025","69041","KBO-69041","KT 위즈","손동현","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69041","3.84","58","0","0","5","0","1","13","1.000","257","58 2/3","66","6","12","3","55","30","25","176","58.667","1.33"
"2025","69045","KBO-69045","키움 히어로즈","알칸타라","P","키움","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69045","3.27","19","0","0","8","4","0","0","0.667","492","121","125","11","10","4","92","50","44","363","121.000","1.12"
"2025","69047","KBO-69047","KT 위즈","전용주","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69047","3.95","21","0","0","0","1","0","4","0.000","66","13 2/3","18","0","7","0","11","8","6","41","13.667","1.83"
"2025","69054","KBO-69054","KT 위즈","이상동","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69054","2.49","41","0","0","3","0","0","5","1.000","168","43 1/3","31","4","9","2","34","12","12","130","43.333","0.92"
"2025","69068","KBO-69068","KT 위즈","이선우","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69068","","","","","","","","","","","","","","","","","","","","",""
"2025","69108","KBO-69108","LG 트윈스","이지강","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69108","5.32","43","0","0","1","2","3","4","0.333","211","47 1/3","50","4","24","1","39","29","28","142","47.333","1.56"
"2025","69113","KBO-69113","KT 위즈","임준형","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69113","5.19","10","0","0","0","0","0","0","-","42","8 2/3","11","0","7","1","6","7","5","26","8.667","2.08"
"2025","69134","KBO-69134","LG 트윈스","이정용","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69134","5.03","39","0","0","6","1","1","7","0.857","139","34","32","3","12","2","26","19","19","102","34.000","1.29"
"2025","69159","KBO-69159","LG 트윈스","정우영","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69159","20.25","4","0","0","0","0","0","0","-","13","2 2/3","1","1","4","1","3","6","6","8","2.667","1.88"
"2025","69204","KBO-69204","NC 다이노스","전루건","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69204","","","","","","","","","","","","","","","","","","","","",""
"2025","69205","KBO-69205","두산 베어스","이교훈","P","두산","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69205","1.17","10","0","0","1","0","0","0","1.000","29","7 2/3","4","0","4","1","7","2","1","23","7.667","1.04"
"2025","69213","KBO-69213","한화 이글스","윤산흠","P","한화","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69213","3.78","12","0","0","0","0","0","0","-","73","16 2/3","16","1","5","3","17","7","7","50","16.667","1.26"
"2025","69328","KBO-69328","키움 히어로즈","박주성","P","키움","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69328","6.58","18","0","0","2","3","0","1","0.400","235","52","63","9","16","3","26","40","38","156","52.000","1.52"
"2025","69360","KBO-69360","키움 히어로즈","조영건","P","키움","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69360","5.68","51","0","0","5","5","8","7","0.500","353","77 2/3","84","12","38","4","47","51","49","233","77.667","1.57"
"2025","69367","KBO-69367","키움 히어로즈","김인범","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69367","","","","","","","","","","","","","","","","","","","","",""
