"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","source_level","level_adjustment","PA","AB","SBA","OOB","PKO","contact","power","plate_discipline","bat_control","timing","bunt","speed","baserunning_judgment","contact_percentile","power_percentile","plate_discipline_percentile","bat_control_percentile","timing_percentile","speed_percentile","baserunning_judgment_percentile","adjusted_avg","adjusted_iso","adjusted_hr_rate","adjusted_bb_rate","adjusted_k_rate","adjusted_sba_rate","adjusted_sb_pct","adjusted_oob_rate","adjusted_pko_rate","batting_confidence","running_confidence","timing_source","timing_split_ab","fielding_range","catching","throwing_power","throwing_accuracy","fielding_judgment","composure","leadership","aggressiveness","formula_version"
"2025","55926","KBO-55926","KIA 타이거즈","정현창","IF","KBO","0","21","19","1","0","0","10","10","10","10","10","1","10","10","0.5273","0.4742","0.5247","0.5018","0.4989","0.5212","0.4859","0.2623","0.1062","0.0174","0.0921","0.2034","0.0896","0.6807","0.0234","0.0036","very_low","very_low","kbo_pitcher_type_splits","19","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","66354","KBO-66354","KIA 타이거즈","주효상","C","KBO","0","17","15","0","0","0","10","10","10","10","10","1","10","10","0.5383","0.5182","0.5281","0.5079","0.5213","0.4948","0.5051","0.2714","0.1273","0.0180","0.0952","0.2018","0.0720","0.7488","0.0234","0.0036","very_low","very_low","kbo_pitcher_type_splits","15","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","65464","KBO-65464","KIA 타이거즈","최정용","IF","KBO","0","6","6","0","0","0","10","10","10","10","10","1","10","10","0.5024","0.5027","0.4969","0.5000","0.4957","0.5038","0.4988","0.2567","0.1193","0.0198","0.0863","0.2039","0.0805","0.7488","0.0262","0.0040","very_low","very_low","kbo_pitcher_type_splits","6","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","72443","KBO-72443","KIA 타이거즈","최형우","OF","KBO","0","549","469","1","4","0","14","14","14","12","13","1","7","11","0.8700","0.8878","0.8649","0.7338","0.7582","0.1644","0.6242","0.2991","0.2050","0.0402","0.1173","0.1812","0.0208","0.7716","0.0218","0.0008","high","medium","kbo_pitcher_type_splits","469","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","63722","KBO-63722","KIA 타이거즈","한승택","C","KBO","0","23","21","0","0","0","10","10","10","10","10","1","10","10","0.5113","0.4827","0.4733","0.4694","0.4867","0.4920","0.5051","0.2580","0.1127","0.0171","0.0825","0.2164","0.0720","0.7488","0.0234","0.0036","very_low","very_low","kbo_pitcher_type_splits","21","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","68646","KBO-68646","KIA 타이거즈","한준수","C","KBO","0","276","244","0","1","0","9","12","11","12","10","1","9","11","0.2640","0.7220","0.6176","0.7262","0.5141","0.3518","0.5839","0.2361","0.1385","0.0242","0.0935","0.1798","0.0323","0.7488","0.0184","0.0016","medium","low","kbo_pitcher_type_splits","244","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","65610","KBO-65610","KIA 타이거즈","황대인","IF","KBO","0","57","53","0","1","0","10","10","10","10","10","1","10","10","0.3908","0.5305","0.4009","0.4482","0.4402","0.4617","0.4801","0.2367","0.1218","0.0198","0.0773","0.2141","0.0662","0.7488","0.0377","0.0033","low","very_low","kbo_pitcher_type_splits","53","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","69064","KBO-69064","KT 위즈","강민성","IF","KBO","0","36","30","0","0","0","10","10","11","10","10","1","10","10","0.3875","0.4391","0.5825","0.3905","0.4000","0.4904","0.5033","0.2093","0.0972","0.0155","0.1040","0.2545","0.0733","0.7488","0.0239","0.0037","low","very_low","kbo_pitcher_type_splits","30","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","68050","KBO-68050","KT 위즈","강백호","C","KBO","0","369","321","6","1","2","12","13","13","13","11","1","10","10","0.6517","0.8393","0.8144","0.7563","0.5563","0.3779","0.4474","0.2642","0.1844","0.0365","0.1133","0.1783","0.0605","0.5930","0.0140","0.0132","high","medium","kbo_pitcher_type_splits","321","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","50066","KBO-50066","KT 위즈","강현우","C","KBO","0","78","64","0","0","0","9","10","12","11","10","6","10","10","0.3633","0.4219","0.6535","0.5964","0.4467","0.4252","0.5309","0.2330","0.1015","0.0174","0.1075","0.1889","0.0578","0.7488","0.0188","0.0029","low","very_low","kbo_pitcher_type_splits","64","","","","","","","","","kbo-hitter-abilities-v2-compressed"
