"kbo_player_id","team","season","registration_days","national_team","national_team_days","snapshot_date","source_url"
"50204","두산","2020","18","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50204"
"50204","두산","2021","56","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50204"
"50204","두산","2023","50","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50204"
"50204","두산","2024","0","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50204"
"50204","두산","2025","60","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50204"
"50206","두산","2024","43","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50206"
"50206","두산","2025","14","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50206"
"50208","두산","2020","10","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50208"
"50208","두산","2021","2","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50208"
"50208","두산","2024","13","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50208"
"50208","두산","2025","178","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50208"
"50211","두산","2020","0","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50211"
"50211","두산","2023","5","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50211"
"50211","두산","2025","33","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50211"
"50304","키움","2020","3","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50304"
"50304","키움","2021","28","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50304"
"50304","키움","2023","24","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50304"
"50304","키움","2024","59","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50304"
"50304","키움","2025","11","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50304"
"50357","키움","2020","55","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50357"
"50357","키움","2021","46","세계야구선수권 5(8위)","5","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50357"
"50357","키움","2022","42","","0","2026-08-03","https://www.koreabaseball.com/Record/Player/PitcherDetail/SeasonReg.aspx?playerId=50357"
