"search_name","candidate_status","kbo_player_id","name","team_id","team_name","position_name","bats_throws","profile_link","source_url"
"권희동","now","63963","권희동","NC","NC","외야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=63963","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김강률","now","77263","김강률","LG","LG","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=77263","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김강현","now","65522","김강현","LT","롯데","투수","우투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=65522","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김건국","now","76225","김건국","HT","KIA","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=76225","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김건우","now","51867","김건우","SK","SSG","투수","좌투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=51867","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김건우","retire","86111","김건우","LG","LG","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=86111","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김건우","retire","63997","김건우","NC","NC","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=63997","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김건형","retire","51005","김건형","KT","KT","외야수","우투좌타","/Record/Retire/Hitter.aspx?playerId=51005","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김건희","now","53312","김건희","WO","키움","포수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=53312","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김광현","now","77829","김광현","SK","SSG","투수","좌투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=77829","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김광현","retire","94233","김광현","SK","SK","포수","우투우타","/Record/Retire/Hitter.aspx?playerId=94233","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김규민","now","54810","김규민","SM","상무","포수","우투좌타","/Futures/Player/HitterDetail.aspx?playerId=54810","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김규민","retire","62356","김규민","WO","키움","외야수","좌투좌타","/Record/Retire/Hitter.aspx?playerId=62356","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
