"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS","SAC","SF","PA_OTHER","SAC_SF_CANDIDATES","SAC_SF_SOURCE","SAC_SF_CONFIDENCE","ISO","K_RATE","BB_RATE","BB_K","XBH","XBH_RATE","HR_RATE","basic_source_url"
"2025","50657","KBO-50657","KIA 타이거즈","박민","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50657","0.202","71","105","94","11","19","5","0","1","27","6","1","0","5","3","33","1","0.287","0.265","3","0.552","3","0","0","0","kbo_basic_leaderboard","official","0.085","0.3143","0.0476","0.152","6","0.0571","0.0095","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50704","KBO-50704","한화 이글스","임종찬","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50704","0.167","17","35","30","2","5","1","0","1","9","2","2","0","5","0","13","0","0.300","0.286","1","0.586","0","0","0","0","kbo_basic_leaderboard","official","0.133","0.3714","0.1429","0.385","2","0.0571","0.0286","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50707","KBO-50707","한화 이글스","최인호","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50707","0.259","78","159","139","7","36","9","0","2","51","19","1","0","13","5","29","5","0.367","0.342","0","0.709","1","1","0","1","kbo_basic_leaderboard","official","0.108","0.1824","0.0818","0.448","11","0.0692","0.0126","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50709","KBO-50709","한화 이글스","박정현","IF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50709","0.000","2","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0.000","0.000","0","0.000","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.5000","0.0000","0.000","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50840","KBO-50840","SSG 랜더스","현원회","IF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50840","0.305","21","62","59","6","18","1","0","1","22","6","0","0","3","0","16","3","0.373","0.339","0","0.712","0","0","0","0","kbo_basic_leaderboard","official","0.068","0.2581","0.0484","0.188","2","0.0323","0.0161","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50848","KBO-50848","SSG 랜더스","김성민","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50848","","","","","","","","","","","","","","","","","","","","","","","","","","","unavailable","","","","","","","","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50854","KBO-50854","SSG 랜더스","최지훈","OF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50854","0.284","140","574","517","66","147","16","4","7","192","45","28","7","43","5","87","2","0.371","0.342","5","0.713","4","5","0","5","kbo_basic_leaderboard","official","0.087","0.1516","0.0749","0.494","27","0.0470","0.0122","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50868","KBO-50868","SSG 랜더스","류효승","OF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50868","0.287","27","103","94","18","27","5","0","6","50","16","0","1","7","2","28","1","0.532","0.350","0","0.882","0","0","0","0","kbo_basic_leaderboard","official","0.245","0.2718","0.0680","0.250","11","0.1068","0.0583","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50901","KBO-50901","NC 다이노스","안인산","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50901","0.000","4","7","6","0","0","0","0","0","0","1","0","0","0","0","3","0","0.000","0.000","0","0.000","0","1","0","1","kbo_basic_leaderboard","official","0.000","0.4286","0.0000","0.000","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50902","KBO-50902","NC 다이노스","김한별","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50902","0.313","76","72","64","14","20","2","0","0","22","5","1","0","3","3","5","2","0.344","0.371","2","0.715","2","0","0","0","kbo_basic_leaderboard","official","0.031","0.0694","0.0417","0.600","2","0.0278","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50903","KBO-50903","NC 다이노스","한재환","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50903","0.185","16","31","27","2","5","0","0","0","5","4","0","0","2","2","14","0","0.185","0.290","0","0.475","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.4516","0.0645","0.143","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50906","KBO-50906","NC 다이노스","박영빈","OF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50906","0.250","16","5","4","8","1","0","0","0","1","1","4","2","1","0","2","0","0.250","0.400","0","0.650","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.4000","0.2000","0.500","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50996","KBO-50996","NC 다이노스","박시원","OF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50996","0.204","52","60","54","12","11","2","0","1","16","4","1","0","5","0","18","1","0.296","0.271","0","0.567","1","0","0","0","kbo_basic_leaderboard","official","0.092","0.3000","0.0833","0.278","3","0.0500","0.0167","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51003","KBO-51003","KT 위즈","권동진","IF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51003","0.225","123","309","271","34","61","12","3","1","82","25","3","1","30","1","91","8","0.303","0.304","15","0.607","6","1","0","1","kbo_basic_leaderboard","official","0.078","0.2945","0.0971","0.330","16","0.0518","0.0032","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51005","KBO-51005","KT 위즈","김건형","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51005","0.000","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0","0.000","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.0000","0.0000","","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51007","KBO-51007","KT 위즈","최성민","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51007","0.105","32","21","19","3","2","0","0","0","2","2","1","0","1","0","5","0","0.105","0.150","1","0.255","1","0","0","0","kbo_basic_leaderboard","official","0.000","0.2381","0.0476","0.200","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51013","KBO-51013","KT 위즈","유준규","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51013","0.118","35","41","34","13","4","2","0","0","6","3","2","1","7","0","13","0","0.176","0.268","0","0.444","0","0","0","0","kbo_basic_leaderboard","official","0.058","0.3171","0.1707","0.538","2","0.0488","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51100","KBO-51100","LG 트윈스","이영빈","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51100","0.208","44","75","72","12","15","1","1","3","27","9","1","0","1","0","35","1","0.375","0.216","0","0.591","1","1","0","1","kbo_basic_leaderboard","official","0.167","0.4667","0.0133","0.029","5","0.0667","0.0400","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51203","KBO-51203","두산 베어스","안재석","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51203","0.319","35","147","135","25","43","16","1","4","73","20","2","1","11","0","27","3","0.541","0.370","1","0.911","1","0","0","0","kbo_basic_leaderboard","official","0.222","0.1837","0.0748","0.407","21","0.1429","0.0272","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51269","KBO-51269","두산 베어스","강현구","OF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51269","0.000","1","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0.000","0.000","0","0.000","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.5000","0.0000","0.000","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51298","KBO-51298","두산 베어스","박성재","C","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51298","0.000","6","7","7","0","0","0","0","0","0","0","0","0","0","0","5","0","0.000","0.000","0","0.000","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.7143","0.0000","0.000","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51302","KBO-51302","키움 히어로즈","이주형","IF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51302","0.313","11","17","16","2","5","0","0","0","5","2","0","0","1","0","7","0","0.313","0.353","0","0.666","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.4118","0.0588","0.143","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51344","KBO-51344","NC 다이노스","김휘집","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51344","0.249","142","500","429","64","107","18","2","17","180","56","10","2","40","27","89","9","0.420","0.349","19","0.769","2","2","0","2","kbo_basic_leaderboard","official","0.171","0.1780","0.0800","0.449","37","0.0740","0.0340","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51407","KBO-51407","삼성 라이온즈","이창용","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51407","0.200","11","17","15","2","3","1","0","1","7","2","1","0","2","0","8","0","0.467","0.294","1","0.761","0","0","0","0","kbo_basic_leaderboard","official","0.267","0.4706","0.1176","0.250","2","0.1176","0.0588","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
