"snapshot_date","kbo_player_id","player_uid","team","name","profile_name","position_group","position_name","birth_date","age","bats_throws","height_cm","weight_kg","career","is_rookie","is_foreign","membership_source","last_movement_date","last_movement_type","source_note","source_url"
"2025-10-31","69516","KBO-69516","KIA 타이거즈","김현수","김현수","P","투수","2000-07-10","25","우투우타","185","90","효제초-홍은중-장충고-롯데-KIA-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=69516"
"2025-10-31","54640","KBO-54640","KIA 타이거즈","네일","네일","P","투수","1993-02-08","32","우투우타","193","83","미국 Alabama at Birmingham(대)","0","1","opening_roster","","","외국인","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=54640"
"2025-10-31","63638","KBO-63638","KIA 타이거즈","박준표","박준표","P","","1992-06-26","33","우언우타","181","93","송정동초-진흥중-중앙고-동강대-KIA-경찰-KIA","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=63638"
"2025-10-31","54610","KBO-54610","KIA 타이거즈","성영탁","성영탁","P","투수","2004-07-28","21","우투우타","180","89","동주초(부산서구리틀)-개성중-부산고","0","0","movement","2025-05-19","소속선수 추가 등록","육성선수 말소","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=54610"
"2025-10-31","55659","KBO-55659","KIA 타이거즈","양수호","양수호","P","투수","2006-09-09","19","우투우타","187","82","보성초(대전중구리틀)-공주중-공주고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=55659"
"2025-10-31","77637","KBO-77637","KIA 타이거즈","양현종","양현종","P","투수","1988-03-01","37","좌투좌타","183","91","학강초-광주동성중-광주동성고-KIA-텍사스","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=77637"
"2025-10-31","55633","KBO-55633","KIA 타이거즈","올러","올러","P","투수","1994-10-17","31","우투우타","193","102","미국 Northwestern State(대)","0","1","opening_roster","","","외국인","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=55633"
"2025-10-31","67640","KBO-67640","KIA 타이거즈","유승철","유승철","P","투수","1998-03-02","27","우투양타","184","87","순천북초-순천이수중-효천고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=67640"
"2025-10-31","50604","KBO-50604","KIA 타이거즈","유지성","유지성","P","투수","2000-11-15","24","좌투좌타","189","94","수유초-자양중-북일고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50604"
"2025-10-31","53613","KBO-53613","KIA 타이거즈","윤영철","윤영철","P","투수","2004-04-20","21","좌투좌타","187","87","창서초(서대문구리틀)-충암중-충암고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53613"
"2025-10-31","68619","KBO-68619","KIA 타이거즈","윤중현","윤중현","P","투수","1995-04-25","30","우언우타","180","84","광주서석초-무등중-광주제일고-성균관대","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=68619"
"2025-10-31","53615","KBO-53615","KIA 타이거즈","이도현","이도현","P","투수","2005-01-07","20","우투우타","188","90","가동초-휘문중-휘문고","0","0","movement","2025-06-28","소속선수 추가 등록","육성선수 말소","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53615"
"2025-10-31","55632","KBO-55632","KIA 타이거즈","이성원","이성원","P","투수","2006-05-18","19","우투우타","184","90","호동초(화성B리틀)-안산중앙중-유신고","0","0","movement","2025-09-02","소속선수 추가 등록","육성선수 말소","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=55632"
"2025-10-31","51648","KBO-51648","KIA 타이거즈","이의리","이의리","P","투수","2002-06-16","23","좌투좌타","185","90","광주수창초-충장중-광주제일고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51648"
"2025-10-31","65665","KBO-65665","KIA 타이거즈","이준영","이준영","P","투수","1992-08-10","33","좌투좌타","177","85","군산남초-군산중-군산상고-중앙대-KIA-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=65665"
"2025-10-31","62951","KBO-62951","KIA 타이거즈","이형범","이형범","P","투수","1994-02-27","31","우투우타","181","80","화순초-화순중-화순고-NC-경찰-NC-두산","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=62951"
"2025-10-31","55663","KBO-55663","KIA 타이거즈","이호민","이호민","P","투수","2006-08-26","19","우투우타","182","85","해남북일초(해남군리틀)-이평중BC-전주고-KIA-상무","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=55663"
"2025-10-31","62754","KBO-62754","KIA 타이거즈","임기영","임기영","P","투수","1993-04-16","32","우언우타","184","86","대구수창초-경운중-경북고-한화-상무-KIA","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=62754"
"2025-10-31","50641","KBO-50641","KIA 타이거즈","장재혁","장재혁","P","투수","2001-08-02","24","우투우타","180","86","부산금강초(부산동래구리틀)-대신중-경남고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50641"
"2025-10-31","66609","KBO-66609","KIA 타이거즈","전상현","전상현","P","투수","1996-04-18","29","우투우타","180","88","남도초-경복중-대구상원고-KIA-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=66609"
"2025-10-31","50662","KBO-50662","KIA 타이거즈","정해영","정해영","P","투수","2001-08-23","24","우투우타","189","98","광주대성초-광주동성중-광주제일고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50662"
"2025-10-31","63342","KBO-63342","KIA 타이거즈","조상우","조상우","P","투수","1994-09-04","31","우투우타","186","97","서화초-상인천중-대전고-히어로즈-키움","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=63342"
"2025-10-31","52639","KBO-52639","KIA 타이거즈","최지민","최지민","P","투수","2003-09-10","22","좌투좌타","185","100","강릉율곡초(강릉리틀)-경포중-강릉고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52639"
