season,kbo_player_id,team_at_salary,player_name,salary_10k_krw,coverage,source_url,source_note
2025,79215,NC 다이노스,박건우,70000,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,62244,NC 다이노스,박세혁,60000,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,77532,NC 다이노스,손아섭,50000,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,63963,NC 다이노스,권희동,22500,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,78135,키움 히어로즈,이형종,60000,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,65357,키움 히어로즈,송성문,30000,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,75566,키움 히어로즈,이원석,30000,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,76267,키움 히어로즈,최주환,30000,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,74163,키움 히어로즈,이용규,20000,team_top_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 구단별 선수연봉 상위 5걸
2025,53123,LG 트윈스,오스틴,210000,foreign_contract_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 외국인 선수 연봉(계약금 포함)
2025,53827,SSG 랜더스,에레디아,224000,foreign_contract_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 외국인 선수 연봉(계약금 포함)
2025,54944,NC 다이노스,데이비슨,168000,foreign_contract_salary,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11394,KBO 2025 외국인 선수 연봉(계약금 포함)
