"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2025","50054","KBO-50054","LG 트윈스","천성호","IF","LG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50054","0.396","15","61","53","13","21","5","0","1","29","11","1","2","6","1","15","1","0.547","0.459","1","1.006"
"2025","50066","KBO-50066","KT 위즈","강현우","C","KT","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50066","0.320","40","122","103","19","33","5","0","4","50","20","0","1","19","0","15","3","0.485","0.426","0","0.911"
"2025","50092","KBO-50092","KT 위즈","윤준혁","IF","KT","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50092","0.318","62","252","214","38","68","13","1","5","98","45","16","2","31","2","39","5","0.458","0.401","5","0.859"
"2025","50108","KBO-50108","LG 트윈스","함창건","OF","LG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50108","0.313","76","292","252","39","79","13","1","6","112","59","1","1","35","2","48","2","0.444","0.397","2","0.841"
"2025","50150","KBO-50150","롯데 자이언츠","손호영","IF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150","0.500","3","11","10","1","5","1","0","0","6","4","0","0","0","0","2","0","0.600","0.455","1","1.055"
"2025","50167","KBO-50167","키움 히어로즈","이주형","OF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50167","0.625","3","12","8","2","5","0","0","0","5","4","1","0","4","0","1","0","0.625","0.750","0","1.375"
"2025","50204","KBO-50204","두산 베어스","박지훈","IF","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50204","0.293","46","156","133","25","39","2","1","2","49","16","7","4","16","0","20","3","0.368","0.364","3","0.732"
"2025","50208","KBO-50208","두산 베어스","오명진","IF","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50208","0.200","8","23","20","2","4","0","0","0","4","1","0","0","3","0","6","1","0.200","0.304","0","0.504"
"2025","50304","KBO-50304","키움 히어로즈","김병휘","IF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50304","0.219","46","93","73","13","16","4","1","0","22","10","0","0","13","5","21","0","0.301","0.370","4","0.671"
"2025","50357","KBO-50357","키움 히어로즈","박주홍","OF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50357","0.323","18","85","62","18","20","2","0","3","31","14","5","1","20","0","11","1","0.500","0.482","0","0.982"
"2025","50458","KBO-50458","삼성 라이온즈","김지찬","OF","삼성","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50458","0.333","3","10","9","1","3","0","1","0","5","4","0","1","1","0","1","0","0.556","0.400","0","0.956"
