"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","ERA","G","CG","SHO","W","L","SV","HLD","WPCT","TBF","IP","H","HR","BB","HBP","SO","R","ER","IP_OUTS","IP_DECIMAL","WHIP"
"2024","50030","KBO-50030","KT 위즈","소형준","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030","3.24","6","0","0","2","0","0","0","1.000","30","8 1/3","7","1","1","1","3","3","3","25","8.333","0.96"
"2024","50036","KBO-50036","키움 히어로즈","이강준","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50036","","","","","","","","","","","","","","","","","","","","",""
"2024","50106","KBO-50106","LG 트윈스","유영찬","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50106","2.97","62","0","0","7","5","26","1","0.583","286","63 2/3","61","2","30","3","77","24","21","191","63.667","1.43"
"2024","50109","KBO-50109","KT 위즈","성재헌","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50109","7.31","30","0","0","0","0","0","1","-","159","32","46","1","16","5","20","29","26","96","32.000","1.94"
"2024","50206","KBO-50206","두산 베어스","최종인","P","두산","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50206","3.72","11","0","0","1","0","1","2","1.000","42","9 2/3","8","2","5","0","8","4","4","29","9.667","1.34"
"2024","50211","KBO-50211","두산 베어스","제환유","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50211","","","","","","","","","","","","","","","","","","","","",""
"2024","50430","KBO-50430","삼성 라이온즈","홍원표","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50430","4.26","4","0","0","0","0","0","0","-","28","6 1/3","4","1","6","0","5","3","3","19","6.333","1.58"
"2024","50441","KBO-50441","삼성 라이온즈","황동재","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50441","4.07","15","0","0","1","2","0","0","0.333","180","42","38","2","18","4","30","20","19","126","42.000","1.33"
"2024","50464","KBO-50464","삼성 라이온즈","이승민","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50464","8.56","25","0","0","1","4","0","0","0.200","237","47 1/3","71","14","26","3","23","48","45","142","47.333","2.05"
"2024","50556","KBO-50556","롯데 자이언츠","최준용","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50556","5.40","27","0","0","1","2","0","3","0.333","105","21 2/3","28","2","14","1","12","13","13","65","21.667","1.94"
"2024","50596","KBO-50596","롯데 자이언츠","홍민기","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50596","12.27","3","0","0","0","0","0","0","-","24","3 2/3","8","0","1","2","2","7","5","11","3.667","2.45"
"2024","50604","KBO-50604","KIA 타이거즈","유지성","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50604","7.71","3","0","0","0","0","0","0","-","14","2 1/3","5","1","0","1","3","4","2","7","2.333","2.14"
"2024","50641","KBO-50641","KIA 타이거즈","장재혁","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50641","0.00","1","0","0","0","0","0","0","-","7","1 1/3","2","0","1","0","0","0","0","4","1.333","2.25"
"2024","50650","KBO-50650","KT 위즈","최용준","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50650","","","","","","","","","","","","","","","","","","","","",""
"2024","50662","KBO-50662","KIA 타이거즈","정해영","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50662","2.49","53","0","0","2","3","31","1","0.400","210","50 2/3","47","8","16","1","50","14","14","152","50.667","1.24"
"2024","50705","KBO-50705","한화 이글스","강재민","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50705","","","","","","","","","","","","","","","","","","","","",""
"2024","50711","KBO-50711","한화 이글스","김승일","P","한화","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50711","3.00","3","0","0","0","0","0","0","-","13","3","4","0","0","1","2","1","1","9","3.000","1.33"
"2024","50812","KBO-50812","SSG 랜더스","박시후","P","SSG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50812","6.75","11","0","0","0","0","0","0","-","70","14 2/3","18","1","7","2","11","11","11","44","14.667","1.70"
"2024","50859","KBO-50859","KT 위즈","오원석","P","SSG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50859","5.03","29","0","0","6","9","0","1","0.400","550","121 2/3","122","17","65","13","112","72","68","365","121.667","1.54"
"2024","50904","KBO-50904","LG 트윈스","이종준","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50904","4.15","27","0","0","1","2","0","1","0.333","119","26","26","4","16","0","28","13","12","78","26.000","1.62"
"2024","50992","KBO-50992","NC 다이노스","김태경","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50992","","","","","","","","","","","","","","","","","","","","",""
"2024","51058","KBO-51058","KT 위즈","한차현","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51058","9.95","10","0","0","0","4","0","0","0.000","103","19","29","4","18","0","17","22","21","57","19.000","2.47"
"2024","51111","KBO-51111","LG 트윈스","송승기","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51111","","","","","","","","","","","","","","","","","","","","",""
"2024","51154","KBO-51154","LG 트윈스","김진수","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51154","6.75","8","0","0","0","1","0","0","0.000","58","13 1/3","17","3","4","0","6","10","10","40","13.333","1.58"
"2024","51264","KBO-51264","두산 베어스","최승용","P","두산","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51264","6.00","12","0","0","2","0","0","1","1.000","124","27","37","6","7","0","21","19","18","81","27.000","1.63"
"2024","51299","KBO-51299","KT 위즈","김주완","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51299","","","","","","","","","","","","","","","","","","","","",""
"2024","51454","KBO-51454","삼성 라이온즈","이승현","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51454","4.23","17","0","0","6","4","0","0","0.600","384","87 1/3","88","9","37","6","68","44","41","262","87.333","1.43"
"2024","51460","KBO-51460","삼성 라이온즈","이재희","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51460","","","","","","","","","","","","","","","","","","","","",""
"2024","51516","KBO-51516","롯데 자이언츠","김진욱","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51516","5.31","19","0","0","4","3","0","0","0.571","388","84 2/3","89","13","44","3","87","54","50","254","84.667","1.57"
"2024","51526","KBO-51526","LG 트윈스","우강훈","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51526","3.09","14","0","0","1","0","0","0","1.000","57","11 2/3","11","0","8","6","10","6","4","35","11.667","1.63"
"2024","51546","KBO-51546","롯데 자이언츠","정우준","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51546","4.32","8","0","0","0","0","0","0","-","40","8 1/3","10","2","7","0","5","4","4","25","8.333","2.04"
"2024","51592","KBO-51592","롯데 자이언츠","이병준","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51592","","","","","","","","","","","","","","","","","","","","",""
"2024","51594","KBO-51594","롯데 자이언츠","송재영","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51594","10.80","19","0","0","0","1","1","3","0.000","40","8 1/3","9","2","5","1","9","10","10","25","8.333","1.68"
