"draft_year","event_date","overall_pick","round","team","name","position_group","position_name","school","is_early_draft","source_url"
"2025","2024-09-11","1","1","키움 히어로즈","정현우","P","투수","덕수고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","2","1","한화 이글스","정우주","P","투수","전주고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","3","1","삼성 라이온즈","배찬승","P","투수","대구고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","4","1","롯데 자이언츠","김태현","P","투수","광주제일고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","5","1","KIA 타이거즈","김태형","P","투수","덕수고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","6","1","두산 베어스","박준순","IF","내야수","덕수고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","7","1","키움 히어로즈","김서준","P","투수","충훈고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","8","1","SSG 랜더스","이율예","C","포수","강릉고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","9","1","KT 위즈","김동현","P","투수","서울고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","10","1","LG 트윈스","김영우","P","투수","서울고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","11","2","키움 히어로즈","염승원","IF","내야수","휘문고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","12","2","한화 이글스","권민규","P","투수","세광고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","13","2","삼성 라이온즈","심재훈","IF","내야수","유신고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
"2025","2024-09-11","14","2","롯데 자이언츠","박세현","P","투수","배명고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=10201"
