"kbo_player_id","player_name","source_page_url","image_url","credit","license","redistributable","approved","local_filename","status","notes"
"61353","고종욱","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=61353","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/61353.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/61353.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"53609","곽도규","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53609","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53609.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/53609.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"76225","김건국","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=76225","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/76225.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/76225.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"66614","김규성","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=66614","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66614.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/66614.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"69620","김기훈","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=69620","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69620.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/69620.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"60337","김대유","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=60337","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/60337.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/60337.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"52605","김도영","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=52605","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52605.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/52605.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"69745","김도현","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=69745","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69745.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/69745.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"54645","김민주","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=54645","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54645.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/54645.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"63894","김사윤","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=63894","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/63894.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/63894.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"67610","김석환","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=67610","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67610.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/67610.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"78603","김선빈","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=78603","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78603.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/78603.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"66492","김승현","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=66492","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66492.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/66492.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"68928","김시훈","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=68928","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68928.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/68928.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
"55646","김정엽","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=55646","https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55646.jpg","KBO official website","Official profile photo; redistribution rights unverified","0","0","originals/55646.jpg","downloaded_local_only","Local game-development copy; excluded from Git and redistribution packages"
