"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","G","SBA","SB","CS","SB_PCT","OOB","PKO","source_url"
"2025","51528","KBO-51528","롯데 자이언츠","손성빈","C","롯데","1","51","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51551","KBO-51551","롯데 자이언츠","나승엽","IF","롯데","1","105","0","0","0","-","5","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51762","KBO-51762","한화 이글스","장규현","C","한화","1","2","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51764","KBO-51764","한화 이글스","정민규","IF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51860","KBO-51860","SSG 랜더스","박정빈","OF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51865","KBO-51865","SSG 랜더스","조형우","C","SSG","1","102","0","0","0","-","2","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51868","KBO-51868","SSG 랜더스","고명준","IF","SSG","1","130","2","2","0","100","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51903","KBO-51903","NC 다이노스","김정호","C","NC","1","8","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51907","KBO-51907","NC 다이노스","김주원","IF","NC","1","144","55","44","11","80.0","1","3","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","51996","KBO-51996","NC 다이노스","오태양","IF","NC","1","14","3","2","1","66.7","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52001","KBO-52001","KT 위즈","안현민","OF","KT","1","112","8","7","1","87.5","3","2","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52002","KBO-52002","KT 위즈","김병준","OF","KT","1","9","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52103","KBO-52103","LG 트윈스","최원영","OF","LG","1","119","12","8","4","66.7","1","2","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
