"snapshot_date","team","roster_date","kbo_player_id","name","position_group","uniform_number","source_url"
"2025-10-31","KIA 타이거즈","2025-10-04","78122","김태군","C","42","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","66354","주효상","C","22","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","68646","한준수","C","55","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","66614","김규성","IF","14","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","78603","김선빈","IF","3","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","50657","박민","IF","2","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","64646","박찬호","IF","1","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","69636","오선우","IF","56","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","55645","위즈덤","IF","45","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","52667","윤도현","IF","9","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","53659","정해원","IF","64","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","55926","정현창","IF","12","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","65653","김호령","OF","27","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","62947","나성범","OF","47","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","55636","박재현","OF","36","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","55637","박헌","OF","67","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","72443","최형우","OF","34","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","69620","김기훈","P","53","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","68928","김시훈","P","61","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","69516","김현수","P","32","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","77637","양현종","P","54","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","55633","올러","P","33","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","53615","이도현","P","66","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","55632","이성원","P","6","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","51648","이의리","P","48","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","65665","이준영","P","20","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","50641","장재혁","P","38","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","66609","전상현","P","51","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","50662","정해영","P","62","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","63342","조상우","P","11","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","52639","최지민","P","39","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","51994","한재승","P","25","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KIA 타이거즈","2025-10-04","52641","황동하","P","41","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","68050","강백호","C","50","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","50066","강현우","C","55","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","78548","장성우","C","22","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","68089","조대현","C","42","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","51003","권동진","IF","52","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","79402","김상수","IF","7","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","64007","문상철","IF","24","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","50092","윤준혁","IF","35","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","68504","이호연","IF","34","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","64115","장준원","IF","56","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","79240","허경민","IF","13","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","76313","황재균","IF","10","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","64004","김민혁","OF","53","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","64166","배정대","OF","27","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","55013","스티븐슨","OF","3","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","67006","안치영","OF","8","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","52001","안현민","OF","23","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","51013","유준규","OF","67","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","67644","이정훈","OF","33","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","66706","장진혁","OF","51","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","64001","고영표","P","1","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","65048","김민수","P","26","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","67419","문용익","P","18","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","55046","박건우","P","46","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","52060","박영현","P","60","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","69041","손동현","P","41","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","50859","오원석","P","47","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","73117","우규민","P","12","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","54063","원상현","P","63","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","69054","이상동","P","37","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","65060","주권","P","38","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","79140","최동환","P","16","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","KT 위즈","2025-10-03","55032","패트릭","P","32","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","62558","김준태","C","47","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","79365","박동원","C","27","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","52154","이주헌","C","26","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","69100","구본혁","IF","6","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","69102","문보경","IF","2","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","65207","신민재","IF","4","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","53123","오스틴","IF","23","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","79109","오지환","IF","10","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","51100","이영빈","IF","7","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","50054","천성호","IF","59","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","76290","김현수","OF","22","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","54166","김현종","OF","66","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","68119","문성주","OF","8","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","55164","박관우","OF","64","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","62415","박해민","OF","17","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","52103","최원영","OF","3","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","66108","홍창기","OF","51","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","55167","김영우","P","67","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","75867","김진성","P","42","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","51154","김진수","P","45","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","53139","박명근","P","39","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","55121","박시원","P","19","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","LG 트윈스","2025-10-01","63145","배재준","P","25","https://www.koreabaseball.com/Player/RegisterAll.aspx"
