"season","game_date","game_id","start_time","away_team","away_score","home_team","home_score","stadium","source_url"
"2025","2025-07-29","20250729SSHH0","18:30","삼성","9","한화","2","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250729&gameId=20250729SSHH0&section=REVIEW"
"2025","2025-07-29","20250729WOSK0","18:30","키움","3","SSG","9","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250729&gameId=20250729WOSK0&section=REVIEW"
"2025","2025-07-30","20250730KTLG0","18:30","KT","0","LG","5","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250730&gameId=20250730KTLG0&section=REVIEW"
"2025","2025-07-30","20250730NCLT0","18:30","NC","9","롯데","4","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250730&gameId=20250730NCLT0&section=REVIEW"
"2025","2025-07-30","20250730OBHT0","18:30","두산","2","KIA","2","광주","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250730&gameId=20250730OBHT0&section=REVIEW"
"2025","2025-07-30","20250730SSHH0","18:30","삼성","0","한화","5","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250730&gameId=20250730SSHH0&section=REVIEW"
"2025","2025-07-30","20250730WOSK0","18:30","키움","5","SSG","5","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250730&gameId=20250730WOSK0&section=REVIEW"
"2025","2025-07-31","20250731KTLG0","18:30","KT","0","LG","18","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250731&gameId=20250731KTLG0&section=REVIEW"
"2025","2025-07-31","20250731NCLT0","18:30","NC","5","롯데","11","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250731&gameId=20250731NCLT0&section=REVIEW"
"2025","2025-07-31","20250731OBHT0","18:30","두산","2","KIA","3","광주","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250731&gameId=20250731OBHT0&section=REVIEW"
"2025","2025-07-31","20250731SSHH0","18:30","삼성","1","한화","7","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250731&gameId=20250731SSHH0&section=REVIEW"
"2025","2025-07-31","20250731WOSK0","18:30","키움","2","SSG","4","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250731&gameId=20250731WOSK0&section=REVIEW"
"2025","2025-08-01","20250801HHHT0","18:30","한화","2","KIA","3","광주","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250801&gameId=20250801HHHT0&section=REVIEW"
"2025","2025-08-01","20250801KTNC0","18:30","KT","3","NC","5","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250801&gameId=20250801KTNC0&section=REVIEW"
"2025","2025-08-01","20250801LGSS0","18:30","LG","4","삼성","2","대구","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250801&gameId=20250801LGSS0&section=REVIEW"
"2025","2025-08-01","20250801LTWO0","18:30","롯데","0","키움","2","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250801&gameId=20250801LTWO0&section=REVIEW"
"2025","2025-08-01","20250801SKOB0","18:30","SSG","7","두산","2","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250801&gameId=20250801SKOB0&section=REVIEW"
"2025","2025-08-02","20250802KTNC0","18:00","KT","6","NC","7","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250802&gameId=20250802KTNC0&section=REVIEW"
"2025","2025-08-02","20250802LGSS0","18:00","LG","3","삼성","2","대구","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250802&gameId=20250802LGSS0&section=REVIEW"
"2025","2025-08-02","20250802LTWO0","18:00","롯데","3","키움","2","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250802&gameId=20250802LTWO0&section=REVIEW"
"2025","2025-08-02","20250802SKOB0","18:00","SSG","4","두산","5","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250802&gameId=20250802SKOB0&section=REVIEW"
"2025","2025-08-03","20250803KTNC0","18:00","KT","1","NC","1","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250803&gameId=20250803KTNC0&section=REVIEW"
"2025","2025-08-03","20250803LGSS0","18:00","LG","6","삼성","3","대구","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250803&gameId=20250803LGSS0&section=REVIEW"
"2025","2025-08-03","20250803LTWO0","14:00","롯데","9","키움","3","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250803&gameId=20250803LTWO0&section=REVIEW"
"2025","2025-08-03","20250803SKOB0","18:00","SSG","3","두산","2","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250803&gameId=20250803SKOB0&section=REVIEW"
"2025","2025-08-05","20250805HTLT0","18:30","KIA","2","롯데","0","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250805&gameId=20250805HTLT0&section=REVIEW"
"2025","2025-08-05","20250805KTHH0","18:30","KT","5","한화","2","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250805&gameId=20250805KTHH0&section=REVIEW"
"2025","2025-08-05","20250805OBLG0","18:30","두산","2","LG","4","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250805&gameId=20250805OBLG0&section=REVIEW"
"2025","2025-08-05","20250805SSSK0","18:30","삼성","6","SSG","2","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250805&gameId=20250805SSSK0&section=REVIEW"
"2025","2025-08-05","20250805WONC0","18:30","키움","8","NC","5","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250805&gameId=20250805WONC0&section=REVIEW"
"2025","2025-08-06","20250806HTLT0","18:30","KIA","1","롯데","7","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250806&gameId=20250806HTLT0&section=REVIEW"
"2025","2025-08-06","20250806KTHH0","18:30","KT","4","한화","5","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250806&gameId=20250806KTHH0&section=REVIEW"
"2025","2025-08-06","20250806OBLG0","18:30","두산","10","LG","8","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250806&gameId=20250806OBLG0&section=REVIEW"
"2025","2025-08-06","20250806SSSK0","18:30","삼성","4","SSG","5","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250806&gameId=20250806SSSK0&section=REVIEW"
"2025","2025-08-06","20250806WONC0","18:30","키움","9","NC","5","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250806&gameId=20250806WONC0&section=REVIEW"
