"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","53144","KBO-53144","LG 트윈스","김범석","C","LG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53144","0.317","26","99","82","16","26","8","0","3","43","25","0","0","11","4","20","3","0.524","0.414","1","0.938"
"2024","53204","KBO-53204","두산 베어스","박민준","C","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53204","0.237","47","69","59","9","14","4","0","2","24","10","0","0","6","2","26","1","0.407","0.319","4","0.726"
"2024","53305","KBO-53305","키움 히어로즈","박성빈","C","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53305","0.222","29","74","63","10","14","1","0","1","18","5","0","0","4","7","17","1","0.286","0.338","4","0.624"
"2024","53309","KBO-53309","키움 히어로즈","서유신","IF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53309","0.175","41","105","80","14","14","1","0","3","24","14","3","0","20","4","27","4","0.300","0.365","3","0.665"
"2024","53312","KBO-53312","키움 히어로즈","김건희","C","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53312","0.319","24","83","72","15","23","6","0","1","32","13","0","0","8","1","15","6","0.444","0.386","2","0.830"
"2024","53344","KBO-53344","키움 히어로즈","김동헌","C","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53344","0.200","3","7","5","1","1","0","0","0","1","1","0","0","2","0","1","1","0.200","0.429","0","0.629"
"2024","53411","KBO-53411","삼성 라이온즈","박진우","C","삼성","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53411","0.262","39","77","65","11","17","0","0","2","23","10","2","0","11","1","10","2","0.354","0.377","1","0.731"
"2024","53554","KBO-53554","두산 베어스","김민석","OF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53554","0.277","35","130","112","21","31","11","1","0","44","11","4","1","16","2","19","3","0.393","0.377","1","0.770"
"2024","53659","KBO-53659","KIA 타이거즈","정해원","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53659","","","","","","","","","","","","","","","","","","","","",""
"2024","53764","KBO-53764","한화 이글스","문현빈","IF","한화","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53764","0.310","10","45","42","5","13","3","0","1","19","4","0","0","1","0","5","0","0.452","0.311","2","0.763"
"2024","53827","KBO-53827","SSG 랜더스","에레디아","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=53827","","","","","","","","","","","","","","","","","","","","",""
"2024","54097","KBO-54097","KT 위즈","김민석","C","KT","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54097","0.281","48","105","89","17","25","6","0","0","31","16","0","0","14","2","17","3","0.348","0.390","1","0.738"
"2024","54156","KBO-54156","LG 트윈스","손용준","IF","LG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54156","0.290","94","227","193","33","56","14","3","1","79","23","8","4","20","8","29","5","0.409","0.377","13","0.786"
"2024","54166","KBO-54166","LG 트윈스","김현종","OF","LG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54166","0.253","56","205","166","31","42","7","3","3","64","32","13","6","33","1","38","0","0.386","0.374","1","0.760"
"2024","54205","KBO-54205","두산 베어스","여동건","IF","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54205","0.279","47","141","122","20","34","7","1","1","46","16","12","6","11","3","22","1","0.377","0.345","6","0.722"
"2024","54214","KBO-54214","두산 베어스","전다민","OF","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54214","0.264","69","252","220","48","58","10","5","3","87","31","27","10","26","2","37","4","0.395","0.344","2","0.739"
"2024","54219","KBO-54219","두산 베어스","류현준","C","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54219","0.280","61","141","118","19","33","9","1","0","44","13","1","0","13","8","23","3","0.373","0.383","3","0.756"
"2024","54236","KBO-54236","두산 베어스","임종성","IF","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54236","0.213","78","265","239","22","51","11","2","0","66","27","1","2","20","3","65","3","0.276","0.279","12","0.555"
"2024","54305","KBO-54305","키움 히어로즈","이재상","IF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54305","0.148","28","104","88","11","13","3","0","0","16","2","0","0","7","8","35","1","0.182","0.272","3","0.454"
"2024","54307","KBO-54307","키움 히어로즈","원성준","OF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54307","0.245","41","119","94","18","23","3","2","3","39","16","4","2","21","2","22","0","0.415","0.387","2","0.802"
"2024","54344","KBO-54344","키움 히어로즈","고영우","IF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54344","0.159","12","50","44","6","7","2","0","1","12","5","0","0","5","1","11","1","0.273","0.260","0","0.533"
"2024","54394","KBO-54394","키움 히어로즈","송지후","IF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54394","0.221","71","242","199","30","44","9","1","2","61","20","1","1","35","5","35","5","0.307","0.351","9","0.658"
"2024","54400","KBO-54400","삼성 라이온즈","디아즈","IF","삼성","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54400","0.667","1","3","3","1","2","0","0","1","5","1","0","0","0","0","0","0","1.667","0.667","0","2.334"
"2024","54408","KBO-54408","삼성 라이온즈","양도근","IF","삼성","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54408","0.232","76","172","142","25","33","3","1","0","38","14","9","5","23","3","26","0","0.268","0.347","4","0.615"
"2024","54444","KBO-54444","키움 히어로즈","카디네스","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54444","","","","","","","","","","","","","","","","","","","","",""
"2024","54506","KBO-54506","롯데 자이언츠","강승구","C","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54506","0.268","33","67","56","6","15","2","1","0","19","8","0","0","8","1","9","1","0.339","0.364","3","0.703"
"2024","54507","KBO-54507","롯데 자이언츠","백두산","C","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54507","0.206","68","186","165","19","34","6","0","6","58","20","2","0","17","2","35","3","0.352","0.285","2","0.637"
"2024","54529","KBO-54529","롯데 자이언츠","레이예스","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54529","","","","","","","","","","","","","","","","","","","","",""
"2024","54598","KBO-54598","롯데 자이언츠","이호준","IF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54598","0.240","36","113","100","11","24","3","0","0","27","9","0","2","12","0","13","2","0.270","0.319","6","0.589"
"2024","54706","KBO-54706","한화 이글스","이승현","IF","한화","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54706","0.000","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0.000","0.000","0","0.000"
"2024","54795","KBO-54795","한화 이글스","황영묵","IF","한화","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54795","0.167","5","20","18","0","3","0","0","0","3","0","0","0","2","0","2","1","0.167","0.250","0","0.417"
"2024","54805","KBO-54805","SSG 랜더스","박지환","IF","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54805","0.269","14","61","52","9","14","3","0","1","20","9","2","1","9","0","7","1","0.385","0.377","0","0.762"
"2024","54806","KBO-54806","SSG 랜더스","이승민","OF","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54806","0.285","66","152","137","15","39","7","2","3","59","20","0","0","11","1","50","2","0.431","0.340","4","0.771"
"2024","54810","KBO-54810","SSG 랜더스","김규민","C","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54810","0.265","30","56","49","5","13","5","0","1","21","7","0","0","6","1","19","1","0.429","0.357","1","0.786"
"2024","54812","KBO-54812","SSG 랜더스","정준재","IF","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54812","0.325","26","87","77","10","25","1","0","0","26","8","7","5","7","0","17","0","0.338","0.381","4","0.719"
"2024","54905","KBO-54905","NC 다이노스","김세훈","IF","NC","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54905","0.293","45","138","123","14","36","4","0","2","46","12","1","1","11","1","28","2","0.374","0.353","5","0.727"
"2024","54908","KBO-54908","NC 다이노스","고승완","OF","NC","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54908","0.241","88","255","212","43","51","11","0","2","68","21","17","5","29","7","43","0","0.321","0.349","3","0.670"
"2024","54944","KBO-54944","NC 다이노스","데이비슨","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=54944","","","","","","","","","","","","","","","","","","","","",""
"2024","55004","KBO-55004","KT 위즈","박민석","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55004","","","","","","","","","","","","","","","","","","","","",""
"2024","55005","KBO-55005","KT 위즈","오서진","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55005","","","","","","","","","","","","","","","","","","","","",""
"2024","55013","KBO-55013","KT 위즈","스티븐슨","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55013","","","","","","","","","","","","","","","","","","","","",""
"2024","55100","KBO-55100","LG 트윈스","이한림","C","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55100","","","","","","","","","","","","","","","","","","","","",""
"2024","55160","KBO-55160","LG 트윈스","서영준","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55160","","","","","","","","","","","","","","","","","","","","",""
"2024","55164","KBO-55164","LG 트윈스","박관우","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55164","","","","","","","","","","","","","","","","","","","","",""
"2024","55165","KBO-55165","LG 트윈스","이태훈","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55165","","","","","","","","","","","","","","","","","","","","",""
