"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","defense_position","G","GS","IP","E","PKO","PO","A","DP","FPCT","PB","SB","CS","CS_PCT","source_url"
"2025","69636","KBO-69636","KIA 타이거즈","오선우","IF","KIA","우익수","19","13","102","1","0","20","3","1","0.958","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69636","KBO-69636","KIA 타이거즈","오선우","IF","KIA","좌익수","56","37","333","0","0","90","2","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55645","KBO-55645","KIA 타이거즈","위즈덤","IF","KIA","1루수","88","60","552","4","0","536","28","48","0.993","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55645","KBO-55645","KIA 타이거즈","위즈덤","IF","KIA","3루수","58","54","406","9","0","33","79","5","0.926","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55645","KBO-55645","KIA 타이거즈","위즈덤","IF","KIA","우익수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55645","KBO-55645","KIA 타이거즈","위즈덤","IF","KIA","좌익수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52667","KBO-52667","KIA 타이거즈","윤도현","IF","KIA","2루수","25","21","175","6","0","31","48","10","0.929","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52667","KBO-52667","KIA 타이거즈","윤도현","IF","KIA","3루수","17","16","115","2","0","6","19","1","0.926","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52667","KBO-52667","KIA 타이거즈","윤도현","IF","KIA","유격수","1","1","9","1","0","1","2","1","0.750","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64560","KBO-64560","KIA 타이거즈","이창진","OF","KIA","우익수","6","4","27","1","0","10","0","0","0.909","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64560","KBO-64560","KIA 타이거즈","이창진","OF","KIA","좌익수","33","19","186","0","0","44","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","53659","KBO-53659","KIA 타이거즈","정해원","IF","KIA","우익수","12","7","53 1/3","0","0","16","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","53659","KBO-53659","KIA 타이거즈","정해원","IF","KIA","좌익수","8","4","44","1","0","10","0","0","0.909","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55926","KBO-55926","KIA 타이거즈","정현창","IF","KIA","2루수","4","2","15 2/3","0","0","2","5","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55926","KBO-55926","KIA 타이거즈","정현창","IF","KIA","3루수","1","1","8","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55926","KBO-55926","KIA 타이거즈","정현창","IF","KIA","유격수","4","1","14","0","0","3","7","2","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66354","KBO-66354","KIA 타이거즈","주효상","C","KIA","포수","7","3","39","1","0","34","3","0","0.974","0","1","1","50.0","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","65464","KBO-65464","KIA 타이거즈","최정용","IF","KIA","2루수","3","2","17","0","0","4","6","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","72443","KBO-72443","KIA 타이거즈","최형우","OF","KIA","좌익수","5","4","29","0","0","4","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","63722","KBO-63722","KIA 타이거즈","한승택","C","KIA","포수","12","5","54","0","0","39","8","0","1.000","0","4","1","20.0","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68646","KBO-68646","KIA 타이거즈","한준수","C","KIA","포수","93","57","525 1/3","3","0","452","36","5","0.994","5","44","12","21.4","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","65610","KBO-65610","KIA 타이거즈","황대인","IF","KIA","1루수","16","15","113","2","0","107","4","10","0.982","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69064","KBO-69064","KT 위즈","강민성","IF","KT","1루수","4","0","9","0","0","4","0","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69064","KBO-69064","KT 위즈","강민성","IF","KT","2루수","16","6","74 1/3","0","0","20","28","5","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69064","KBO-69064","KT 위즈","강민성","IF","KT","3루수","6","0","9","0","0","2","4","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68050","KBO-68050","KT 위즈","강백호","C","KT","1루수","4","0","10 1/3","0","0","10","1","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68050","KBO-68050","KT 위즈","강백호","C","KT","투수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68050","KBO-68050","KT 위즈","강백호","C","KT","포수","5","4","32 2/3","1","0","22","2","1","0.960","0","2","2","50.0","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","50066","KBO-50066","KT 위즈","강현우","C","KT","포수","32","18","160 1/3","4","0","141","14","0","0.975","0","6","2","25.0","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51003","KBO-51003","KT 위즈","권동진","IF","KT","2루수","4","2","24","0","0","4","9","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51003","KBO-51003","KT 위즈","권동진","IF","KT","유격수","119","81","740 1/3","15","0","150","236","40","0.963","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51005","KBO-51005","KT 위즈","김건형","OF","KT","좌익수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","54097","KBO-54097","KT 위즈","김민석","C","KT","포수","2","0","2","0","0","1","0","0","1.000","0","1","0","0.0","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64004","KBO-64004","KT 위즈","김민혁","OF","KT","우익수","1","1","8 1/3","1","0","1","0","0","0.500","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64004","KBO-64004","KT 위즈","김민혁","OF","KT","좌익수","90","83","662 2/3","1","0","127","1","0","0.992","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64004","KBO-64004","KT 위즈","김민혁","OF","KT","중견수","10","7","42","0","0","6","1","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52002","KBO-52002","KT 위즈","김병준","OF","KT","우익수","2","0","4","0","0","1","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52002","KBO-52002","KT 위즈","김병준","OF","KT","좌익수","3","0","5 1/3","0","0","1","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52002","KBO-52002","KT 위즈","김병준","OF","KT","중견수","1","0","3","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","79402","KBO-79402","KT 위즈","김상수","IF","KT","2루수","99","90","742 1/3","6","0","167","268","45","0.986","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","79402","KBO-79402","KT 위즈","김상수","IF","KT","유격수","25","13","125 2/3","2","0","29","34","6","0.969","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64007","KBO-64007","KT 위즈","문상철","IF","KT","1루수","61","45","382","0","0","351","30","31","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69056","KBO-69056","KT 위즈","박민석","IF","KT","2루수","5","2","12","1","0","4","4","0","0.889","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69056","KBO-69056","KT 위즈","박민석","IF","KT","유격수","11","3","43 1/3","1","0","7","11","7","0.947","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64166","KBO-64166","KT 위즈","배정대","OF","KT","중견수","92","64","617 1/3","1","0","156","2","1","0.994","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64012","KBO-64012","KT 위즈","송민섭","OF","KT","우익수","3","0","4","0","0","2","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55013","KBO-55013","KT 위즈","스티븐슨","OF","KT","우익수","2","0","3","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55013","KBO-55013","KT 위즈","스티븐슨","OF","KT","중견수","39","39","331 2/3","2","0","73","2","0","0.974","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67006","KBO-67006","KT 위즈","안치영","OF","KT","우익수","17","1","35 1/3","0","0","10","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67006","KBO-67006","KT 위즈","안치영","OF","KT","좌익수","23","9","87 2/3","0","0","22","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67006","KBO-67006","KT 위즈","안치영","OF","KT","중견수","5","2","19","0","0","5","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52001","KBO-52001","KT 위즈","안현민","OF","KT","우익수","93","84","699 2/3","7","0","149","14","1","0.959","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
