season,kbo_player_id,has_record,ERA,G,TBF,IP_DECIMAL,SO,BB,HR,source_url
2022,68341,1,2.11,30,766,196,224,55,4,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68341
2023,68341,1,2.39,24,608,150.666667,164,38,5,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=68341
